TIME(hr:min:sec),INPUT_I(A),CHARGING_I(A),BUCK_I(A),Cell1(V),Cell2(V),V_+(V),TEMPERATURE(deg C)
01:18:09,0.162,0.177,0.248,4.233,8.449,12.639,32.633
01:18:10,0.163,0.177,0.173,4.233,8.449,12.639,32.776
01:18:11,0.162,0.179,0.206,4.235,8.427,12.646,33.279
01:18:12,0.162,0.176,0.200,4.235,8.449,12.646,32.939
01:18:13,0.162,0.176,0.200,4.236,8.449,12.646,32.980
01:18:14,0.162,0.178,0.201,4.241,8.458,12.639,32.858
01:18:15,0.162,0.179,0.203,4.233,8.458,12.639,32.763
01:18:16,0.162,0.179,0.201,4.238,8.449,12.639,32.701
01:18:17,0.161,0.179,0.205,4.226,8.436,12.632,32.803
01:18:18,0.161,0.179,0.201,4.238,8.440,12.632,32.756
01:18:19,0.161,0.179,0.202,4.238,8.440,12.618,32.810
01:18:20,0.161,0.176,0.208,4.281,8.449,12.646,32.797
01:18:21,0.161,0.176,0.199,4.238,8.445,12.555,32.769
01:18:22,0.160,0.177,0.199,4.239,8.458,12.646,32.790
01:18:23,0.161,0.178,0.198,4.236,8.449,12.646,32.803
01:18:24,0.161,0.174,0.194,4.237,8.440,12.639,32.844
01:18:25,0.161,0.174,0.209,4.232,8.440,12.632,32.742
01:18:26,0.161,0.176,0.208,4.236,8.449,12.646,32.851
01:18:27,0.160,0.174,0.208,4.233,8.449,12.639,32.803
01:18:28,0.161,0.177,0.199,4.237,8.445,12.652,32.824
01:18:29,0.161,0.173,0.214,4.237,8.431,12.625,32.769
01:18:30,0.161,0.174,0.208,4.233,8.436,12.625,32.844
01:18:31,0.160,0.176,0.198,4.237,8.445,12.646,32.735
01:18:32,0.160,0.179,0.199,4.229,8.449,12.639,32.797
01:18:33,0.160,0.171,0.212,4.233,8.427,12.625,32.708
01:18:34,0.161,0.178,0.207,4.236,8.427,12.632,32.729
01:18:35,0.159,0.176,0.198,4.236,8.449,12.646,32.905
01:18:36,0.159,0.175,0.211,4.232,8.440,12.666,32.939
01:18:37,0.165,0.173,0.214,4.230,8.440,12.632,32.885
01:18:38,0.161,0.176,0.196,4.237,8.445,12.652,32.790
01:18:39,0.155,0.174,0.210,4.233,8.436,12.632,32.708
01:18:40,0.160,0.175,0.209,4.231,8.476,12.625,32.790
01:18:41,0.158,0.176,0.260,4.232,8.440,12.625,32.742
01:18:42,0.158,0.176,0.199,4.238,8.449,12.652,32.810
01:18:43,0.160,0.174,0.187,4.232,8.440,12.639,32.688
01:18:44,0.160,0.173,0.217,4.235,8.440,12.639,32.831
01:18:45,0.158,0.173,0.195,4.237,8.436,12.652,33.307
01:18:46,0.158,0.173,0.209,4.230,8.440,12.597,32.708
01:18:47,0.159,0.177,0.202,4.239,8.346,12.639,32.763
01:18:48,0.159,0.174,0.211,4.232,8.440,12.639,32.722
01:18:49,0.160,0.176,0.196,4.238,8.449,12.652,32.667
01:18:50,0.160,0.175,0.196,4.235,8.440,12.646,32.742
01:18:51,0.160,0.176,0.196,4.237,8.445,12.652,32.763
01:18:52,0.159,0.173,0.205,4.236,8.436,12.639,32.790
01:18:53,0.159,0.173,0.207,4.232,8.431,12.632,32.763
01:18:54,0.158,0.175,0.196,4.237,8.449,12.639,32.735
01:18:55,0.158,0.172,0.198,4.238,8.449,12.618,32.735
01:18:56,0.158,0.176,0.131,4.233,8.449,12.632,32.810
01:18:57,0.158,0.173,0.205,4.231,8.422,12.625,32.749
01:18:58,0.159,0.175,0.196,4.239,8.445,12.639,32.722
